filename,lines,sections
arch/arm/cpu/armv7/ls102xa/fsl_ls1_serdes.c,130,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/ls102xa/fsl_ls1_serdes.h,11,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/ls102xa/ls102xa_psci.c,246,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/ls102xa/ls102xa_serdes.c,40,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/ls102xa/psci.S,257,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/ls102xa/soc.c,240,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/ls102xa/spl.c,15,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/ls102xa/timer.c,126,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/mpu_v7r.c,121,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/nonsec_virt.S,225,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/psci-common.c,45,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/psci.S,347,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/s5p-common/Makefile,15,"""ARM"",""ARM SAMSUNG"",""THE REST"""
arch/arm/cpu/armv7/s5p-common/cpu_info.c,52,"""ARM"",""ARM SAMSUNG"",""THE REST"""
arch/arm/cpu/armv7/s5p-common/pwm.c,225,"""ARM"",""ARM SAMSUNG"",""THE REST"""
arch/arm/cpu/armv7/s5p-common/sromc.c,32,"""ARM"",""ARM SAMSUNG"",""THE REST"""
arch/arm/cpu/armv7/s5p-common/timer.c,139,"""ARM"",""ARM SAMSUNG"",""THE REST"""
arch/arm/cpu/armv7/s5p4418/Makefile,6,"""ARM"",""ARM NEXELL S5P4418"",""THE REST"""
arch/arm/cpu/armv7/s5p4418/cpu.c,122,"""ARM"",""ARM NEXELL S5P4418"",""THE REST"""
arch/arm/cpu/armv7/sctlr.S,22,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/smccc-call.S,59,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/start.S,395,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/stv0991/Makefile,7,"""ARM"",""ARM STM STV0991"",""THE REST"""
arch/arm/cpu/armv7/stv0991/clock.c,42,"""ARM"",""ARM STM STV0991"",""THE REST"""
arch/arm/cpu/armv7/stv0991/lowlevel.S,11,"""ARM"",""ARM STM STV0991"",""THE REST"""
arch/arm/cpu/armv7/stv0991/pinmux.c,66,"""ARM"",""ARM STM STV0991"",""THE REST"""
arch/arm/cpu/armv7/stv0991/reset.c,27,"""ARM"",""ARM STM STV0991"",""THE REST"""
arch/arm/cpu/armv7/stv0991/timer.c,114,"""ARM"",""ARM STM STV0991"",""THE REST"""
arch/arm/cpu/armv7/sunxi/Makefile,21,"""ARM"",""ARM SUNXI"",""THE REST"""
arch/arm/cpu/armv7/sunxi/fel_utils.S,41,"""ARM"",""ARM SUNXI"",""THE REST"""
arch/arm/cpu/armv7/sunxi/psci.c,313,"""ARM"",""ARM SUNXI"",""THE REST"""
arch/arm/cpu/armv7/sunxi/sram.c,40,"""ARM"",""ARM SUNXI"",""THE REST"""
