from,to,lines,size
EROFS,EROFS,2984,79227
EROFS,THE REST,2984,79227
EVENTS,EVENTS,896,22859
EVENTS,THE REST,896,22859
FASTBOOT,FASTBOOT,4164,115346
FASTBOOT,NETWORK,435,11527
FASTBOOT,THE REST,4164,115346
FASTBOOT,USB,560,14598
FLATTENED DEVICE TREE,FLATTENED DEVICE TREE,5582,162164
FLATTENED DEVICE TREE,THE REST,5582,162164
FPGA,FPGA,10092,241962
FPGA,MICROBLAZE,318,8049
FPGA,SANDBOX,17,342
FPGA,THE REST,10092,241962
FREEBSD,FREEBSD,0,0
FREESCALE QORIQ,FREESCALE QORIQ,281,6157
FREESCALE QORIQ,THE REST,281,6157
FREESCALE QORIQ,WATCHDOG,281,6157
GATEWORKS_SC,GATEWORKS_SC,654,14615
GATEWORKS_SC,THE REST,654,14615
I2C,I2C,26407,665535
I2C,MALI DISPLAY PROCESSORS,277,6103
I2C,MICROBLAZE,353,10847
I2C,MIPS CORTINA ACCESS CAxxxx,434,9046
I2C,SANDBOX,99,2078
I2C,THE REST,26407,665535
KWBIMAGE / KWBOOT TOOLS,KWBIMAGE / KWBOOT TOOLS,5777,151057
KWBIMAGE / KWBOOT TOOLS,THE REST,5777,151057
LED,LED,224,5050
LED,THE REST,224,5050
LOGGING,LOGGING,3504,94917
LOGGING,THE REST,3504,94917
MALI DISPLAY PROCESSORS,MALI DISPLAY PROCESSORS,686,17046
MALI DISPLAY PROCESSORS,THE REST,686,17046
MALI DISPLAY PROCESSORS,VIDEO,409,10943
MICROBLAZE,MICROBLAZE,109718,4492635
MICROBLAZE,NETWORK,2664,72241
MICROBLAZE,SPI,448,11373
MICROBLAZE,THE REST,109718,4492635
MICROBLAZE,WATCHDOG,337,8115
MIPS,MIPS,196636,5577101
MIPS,MIPS JZ4780,1929,56479
MIPS,MIPS MEDIATEK,5313,124126
MIPS,MIPS MSCC,6261,200855
MIPS,MIPS Octeon,159997,4610290
MIPS,THE REST,196636,5577101
MIPS CORTINA ACCESS CAxxxx,MIPS CORTINA ACCESS CAxxxx,3525,95083
MIPS CORTINA ACCESS CAxxxx,MMC,174,4068
MIPS CORTINA ACCESS CAxxxx,NETWORK,1630,49877
