from,to,lines,size
ALTERA UART/JTAG UART SERIAL DRIVERS,ALTERA UART/JTAG UART SERIAL DRIVERS,1206,32060
ALTERA UART/JTAG UART SERIAL DRIVERS,SERIAL DRIVERS,1175,31362
ALTERA UART/JTAG UART SERIAL DRIVERS,THE REST,1206,32060
ALTERA UART/JTAG UART SERIAL DRIVERS,TTY LAYER,1175,31362
AMD FAM15H PROCESSOR POWER MONITORING DRIVER,AMD FAM15H PROCESSOR POWER MONITORING DRIVER,304,8421
AMD FAM15H PROCESSOR POWER MONITORING DRIVER,DOCUMENTATION,37,1228
AMD FAM15H PROCESSOR POWER MONITORING DRIVER,HARDWARE MONITORING,304,8421
AMD FAM15H PROCESSOR POWER MONITORING DRIVER,THE REST,304,8421
AMD GEODE CS5536 USB DEVICE CONTROLLER DRIVER,AMD GEODE CS5536 USB DEVICE CONTROLLER DRIVER,4025,102777
AMD GEODE CS5536 USB DEVICE CONTROLLER DRIVER,THE REST,4025,102777
AMD GEODE CS5536 USB DEVICE CONTROLLER DRIVER,USB GADGET/PERIPHERAL SUBSYSTEM,4025,102777
AMD GEODE CS5536 USB DEVICE CONTROLLER DRIVER,USB SUBSYSTEM,4025,102777
AMD GEODE PROCESSOR/CHIPSET SUPPORT,AMD GEODE PROCESSOR/CHIPSET SUPPORT,5754,145349
AMD GEODE PROCESSOR/CHIPSET SUPPORT,CRYPTO API,669,15571
AMD GEODE PROCESSOR/CHIPSET SUPPORT,FRAMEBUFFER LAYER,4910,125887
AMD GEODE PROCESSOR/CHIPSET SUPPORT,HARDWARE RANDOM NUMBER GENERATOR CORE,139,3049
AMD GEODE PROCESSOR/CHIPSET SUPPORT,THE REST,5754,145349
AMD GEODE PROCESSOR/CHIPSET SUPPORT,X86 ARCHITECTURE (32-BIT AND 64-BIT),36,842
AMD IOMMU (AMD-VI),AMD IOMMU (AMD-VI),8445,203590
AMD IOMMU (AMD-VI),THE REST,8445,203590
AMD MICROCODE UPDATE SUPPORT,AMD MICROCODE UPDATE SUPPORT,493,11001
AMD MICROCODE UPDATE SUPPORT,THE REST,493,11001
AMD MICROCODE UPDATE SUPPORT,X86 ARCHITECTURE (32-BIT AND 64-BIT),493,11001
AMS (Apple Motion Sensor) DRIVER,AMS (Apple Motion Sensor) DRIVER,963,22118
AMS (Apple Motion Sensor) DRIVER,LINUX FOR POWER MACINTOSH,963,22118
AMS (Apple Motion Sensor) DRIVER,THE REST,963,22118
AMSO1100 RNIC DRIVER,AMSO1100 RNIC DRIVER,9080,231910
AMSO1100 RNIC DRIVER,INFINIBAND SUBSYSTEM,9080,231910
AMSO1100 RNIC DRIVER,THE REST,9080,231910
ANALOG DEVICES INC ASOC CODEC DRIVERS,ANALOG DEVICES INC ASOC CODEC DRIVERS,5550,158196
ANALOG DEVICES INC ASOC CODEC DRIVERS,SOUND,5550,158196
ANALOG DEVICES INC ASOC CODEC DRIVERS,SOUND - SOC LAYER / DYNAMIC AUDIO POWER MANAGEMENT (ASoC),5550,158196
ANALOG DEVICES INC ASOC CODEC DRIVERS,THE REST,5550,158196
ANALOG DEVICES INC ASOC DRIVERS,ANALOG DEVICES INC ASOC DRIVERS,5733,151111
ANALOG DEVICES INC ASOC DRIVERS,SOUND,5733,151111
ANALOG DEVICES INC ASOC DRIVERS,SOUND - SOC LAYER / DYNAMIC AUDIO POWER MANAGEMENT (ASoC),5733,151111
ANALOG DEVICES INC ASOC DRIVERS,THE REST,5733,151111
AOA (Apple Onboard Audio) ALSA DRIVER,AOA (Apple Onboard Audio) ALSA DRIVER,7568,194082
AOA (Apple Onboard Audio) ALSA DRIVER,SOUND,7568,194082
AOA (Apple Onboard Audio) ALSA DRIVER,THE REST,7568,194082
APM DRIVER,APM DRIVER,3289,91333
APM DRIVER,CHAR and MISC DRIVERS,738,17812
APM DRIVER,THE REST,3289,91333
APM DRIVER,X86 ARCHITECTURE (32-BIT AND 64-BIT),2450,70775
APPARMOR SECURITY MODULE,APPARMOR SECURITY MODULE,7934,211064
APPARMOR SECURITY MODULE,SECURITY SUBSYSTEM,7934,211064
APPARMOR SECURITY MODULE,THE REST,7934,211064
APPLE BCM5974 MULTITOUCH DRIVER,APPLE BCM5974 MULTITOUCH DRIVER,952,29365
APPLE BCM5974 MULTITOUCH DRIVER,"INPUT (KEYBOARD, MOUSE, JOYSTICK, TOUCHSCREEN) DRIVERS",952,29365
APPLE BCM5974 MULTITOUCH DRIVER,THE REST,952,29365
APPLE SMC DRIVER,APPLE SMC DRIVER,1362,32753
