from,to,lines,size
Devices - virtio,S390 Machines - S390 Virtio-ccw,1879,61867
Devices - virtio,Subsystems - Block layer core,1008,31687
Devices - virtio,Subsystems - Network device backends,380,10063
Devices - virtio-9p,Devices - virtio-9p,11875,320730
Devices - virtio-9p,General Project Administration - All patches CC here,11875,320730
Devices - virtio-blk,Devices - virtio-blk,1300,40130
Devices - virtio-blk,General Project Administration - All patches CC here,1300,40130
Devices - virtio-blk,Subsystems - Block layer core,1300,40130
Devices - virtio-ccw,Devices - virtio-ccw,1879,61867
Devices - virtio-ccw,General Project Administration - All patches CC here,1879,61867
Devices - virtio-ccw,Guest CPU cores (TCG): - S390,1879,61867
Devices - virtio-ccw,S390 Machines - S390 Virtio-ccw,1879,61867
Devices - virtio-input,Devices - virtio-input,1231,39099
Devices - virtio-input,General Project Administration - All patches CC here,1231,39099
Devices - virtio-rng,Devices - virtio-rng,911,23467
Devices - virtio-rng,General Project Administration - All patches CC here,911,23467
Devices - virtio-serial,Devices - virtio-serial,1587,45912
Devices - virtio-serial,General Project Administration - All patches CC here,1587,45912
Documentation - Build system architecture,Documentation - Build system architecture,512,17809
Documentation - Build system architecture,General Project Administration - All patches CC here,512,17809
General Project Administration - All patches CC here,General Project Administration - All patches CC here,1657359,61461825
General Project Administration - All patches CC here,Guest CPU Cores (KVM): - ARM,639,16448
General Project Administration - All patches CC here,Guest CPU Cores (KVM): - MIPS,1060,32252
General Project Administration - All patches CC here,Guest CPU Cores (KVM): - Overall,16215,475169
General Project Administration - All patches CC here,Guest CPU Cores (KVM): - PPC,2651,74674
General Project Administration - All patches CC here,Guest CPU Cores (KVM): - S390,4156,118879
General Project Administration - All patches CC here,Guest CPU Cores (KVM): - X86,3525,107740
General Project Administration - All patches CC here,Guest CPU Cores (Xen): - X86,12660,383633
General Project Administration - All patches CC here,Guest CPU cores (TCG): - ARM,98914,3283930
General Project Administration - All patches CC here,Guest CPU cores (TCG): - Alpha,9556,297615
General Project Administration - All patches CC here,Guest CPU cores (TCG): - CRIS,18120,426255
General Project Administration - All patches CC here,Guest CPU cores (TCG): - FPU emulation,10501,377840
General Project Administration - All patches CC here,Guest CPU cores (TCG): - LM32,12019,274254
General Project Administration - All patches CC here,Guest CPU cores (TCG): - M68K,6647,178628
General Project Administration - All patches CC here,Guest CPU cores (TCG): - MIPS,68649,2043843
General Project Administration - All patches CC here,Guest CPU cores (TCG): - MicroBlaze,5565,203358
General Project Administration - All patches CC here,Guest CPU cores (TCG): - Moxie,1843,56185
General Project Administration - All patches CC here,Guest CPU cores (TCG): - OpenRISC,6776,171554
General Project Administration - All patches CC here,Guest CPU cores (TCG): - Overall,11607,348509
General Project Administration - All patches CC here,Guest CPU cores (TCG): - PowerPC,72526,2547273
General Project Administration - All patches CC here,Guest CPU cores (TCG): - S390,28495,891838
General Project Administration - All patches CC here,Guest CPU cores (TCG): - SH4,9476,332328
General Project Administration - All patches CC here,Guest CPU cores (TCG): - SPARC,20418,735001
General Project Administration - All patches CC here,Guest CPU cores (TCG): - TriCore,14658,487992
General Project Administration - All patches CC here,Guest CPU cores (TCG): - UniCore32,3890,106747
General Project Administration - All patches CC here,Guest CPU cores (TCG): - X86,54193,1708398
General Project Administration - All patches CC here,Guest CPU cores (TCG): - Xtensa,14164,429459
General Project Administration - All patches CC here,Hosts: - LINUX,8412,285962
General Project Administration - All patches CC here,Hosts: - POSIX,840,21552
General Project Administration - All patches CC here,"Hosts: - W32, W64",757,21701
General Project Administration - All patches CC here,LM32 Machines - EVR32 and uclinux BSP,335,10867
General Project Administration - All patches CC here,LM32 Machines - milkymist,225,7197
General Project Administration - All patches CC here,M68K Machines - an5206,104,2887
General Project Administration - All patches CC here,M68K Machines - dummy_m68k,84,2338
General Project Administration - All patches CC here,M68K Machines - mcf5208,308,8579
General Project Administration - All patches CC here,MIPS Machines - Jazz,391,13201
General Project Administration - All patches CC here,MIPS Machines - Malta,1267,42015
General Project Administration - All patches CC here,MIPS Machines - Mipssim,244,8031
General Project Administration - All patches CC here,MIPS Machines - R4000,311,9730
General Project Administration - All patches CC here,MicroBlaze Machines - petalogix_ml605,228,8872
General Project Administration - All patches CC here,MicroBlaze Machines - petalogix_s3adsp1800,140,5360
General Project Administration - All patches CC here,OpenRISC Machines - or1k-sim,148,4629
General Project Administration - All patches CC here,PowerPC Machines - 405,664,20719
General Project Administration - All patches CC here,PowerPC Machines - Bamboo,300,9776
General Project Administration - All patches CC here,PowerPC Machines - New World,3482,104294
General Project Administration - All patches CC here,PowerPC Machines - Old World,2792,81353
General Project Administration - All patches CC here,PowerPC Machines - PReP,1491,44986
General Project Administration - All patches CC here,PowerPC Machines - e500,1182,39058
General Project Administration - All patches CC here,PowerPC Machines - mpc8544ds,203,5910
General Project Administration - All patches CC here,PowerPC Machines - sPAPR,16742,520560
General Project Administration - All patches CC here,PowerPC Machines - virtex_ml507,309,10219
General Project Administration - All patches CC here,S390 Machines - S390 Virtio-ccw,15503,455715
General Project Administration - All patches CC here,SH4 Machines - R2D,367,10709
General Project Administration - All patches CC here,SH4 Machines - Shix,101,3483
General Project Administration - All patches CC here,SPARC Machines - Leon3,1324,36461
General Project Administration - All patches CC here,SPARC Machines - Sun4m,1572,46918
General Project Administration - All patches CC here,SPARC Machines - Sun4u,1010,30534
General Project Administration - All patches CC here,Subsystems - Audio,25092,698422
General Project Administration - All patches CC here,Subsystems - Block I/O path,5448,157015
General Project Administration - All patches CC here,Subsystems - Block Jobs,3456,105108
General Project Administration - All patches CC here,"Subsystems - Block QAPI, monitor, command line",8005,252704
General Project Administration - All patches CC here,Subsystems - Block layer core,278975,11378131
General Project Administration - All patches CC here,Subsystems - Buffers,334,8962
General Project Administration - All patches CC here,Subsystems - CPU,1297,39205
General Project Administration - All patches CC here,Subsystems - Character Devices (Braille),649,20866
General Project Administration - All patches CC here,Subsystems - Character device backends,4997,137145
General Project Administration - All patches CC here,Subsystems - Checkpatch,2618,71046
General Project Administration - All patches CC here,Subsystems - Cocoa graphics,1450,49680
General Project Administration - All patches CC here,Subsystems - Coroutines,1912,51849
General Project Administration - All patches CC here,Subsystems - Coverity model,369,8339
General Project Administration - All patches CC here,Subsystems - Cryptography,16407,551049
General Project Administration - All patches CC here,Subsystems - Device Tree,682,20683
General Project Administration - All patches CC here,Subsystems - Error reporting,856,22565
General Project Administration - All patches CC here,Subsystems - GDB stub,2629,82913
General Project Administration - All patches CC here,Subsystems - Graphics,32859,993631
General Project Administration - All patches CC here,Subsystems - Host Memory Backends,668,19104
General Project Administration - All patches CC here,Subsystems - Human Monitor (HMP),8552,244672
General Project Administration - All patches CC here,Subsystems - I/O Channels,7060,210221
General Project Administration - All patches CC here,Subsystems - Main loop,7563,214741
General Project Administration - All patches CC here,Subsystems - Memory API,8497,269022
General Project Administration - All patches CC here,Subsystems - Migration,20065,623064
General Project Administration - All patches CC here,Subsystems - NUMA,587,17623
General Project Administration - All patches CC here,Subsystems - Netmap network backend,447,12683
General Project Administration - All patches CC here,Subsystems - Network Block Device (NBD),4430,128579
General Project Administration - All patches CC here,Subsystems - Network device backends,11778,331829
General Project Administration - All patches CC here,Subsystems - QAPI,13683,436630
General Project Administration - All patches CC here,Subsystems - QAPI Schema,8741,245316
General Project Administration - All patches CC here,Subsystems - QEMU Guest Agent,9995,290048
General Project Administration - All patches CC here,Subsystems - QMP,13394,379675
General Project Administration - All patches CC here,Subsystems - QOM,5253,151501
General Project Administration - All patches CC here,Subsystems - QObject,6026,156717
General Project Administration - All patches CC here,Subsystems - Register API,542,15992
General Project Administration - All patches CC here,Subsystems - SLIRP,14323,411836
General Project Administration - All patches CC here,Subsystems - SPICE,6003,189456
General Project Administration - All patches CC here,Subsystems - Seccomp,308,9539
General Project Administration - All patches CC here,Subsystems - Sockets,1224,34339
General Project Administration - All patches CC here,Subsystems - Throttling infrastructure,1214,37832
General Project Administration - All patches CC here,Subsystems - Tracing,4120,119687
General Project Administration - All patches CC here,Tiny Code Generator (TCG) - AArch64 target,17005,576495
General Project Administration - All patches CC here,Tiny Code Generator (TCG) - ARM target,6274,234623
General Project Administration - All patches CC here,Tiny Code Generator (TCG) - Common code,29578,956580
General Project Administration - All patches CC here,Tiny Code Generator (TCG) - IA64 target,13250,496253
General Project Administration - All patches CC here,Tiny Code Generator (TCG) - MIPS target,7846,336126
General Project Administration - All patches CC here,Tiny Code Generator (TCG) - PPC,8313,332631
General Project Administration - All patches CC here,Tiny Code Generator (TCG) - S390 target,4447,182667
General Project Administration - All patches CC here,Tiny Code Generator (TCG) - SPARC target,5061,231923
General Project Administration - All patches CC here,Tiny Code Generator (TCG) - TCI target,2509,77065
General Project Administration - All patches CC here,Tiny Code Generator (TCG) - i386 target,9392,252807
General Project Administration - All patches CC here,UniCore32 Machines - PKUnity-3 SoC initramfs-with-busybox,864,21738
General Project Administration - All patches CC here,Usermode Emulation - BSD user,7111,255588
General Project Administration - All patches CC here,Usermode Emulation - Linux user,55168,1844104
General Project Administration - All patches CC here,Usermode Emulation - Overall,880,27190
General Project Administration - All patches CC here,X86 Machines - Machine core,811,24654
General Project Administration - All patches CC here,X86 Machines - PC,21465,697017
General Project Administration - All patches CC here,X86 Machines - PC Chipset,8520,249971
General Project Administration - All patches CC here,"Xtensa Machines - XTFPGA (LX60, LX200, ML605, KC705)",1289,37033
General Project Administration - All patches CC here,Xtensa Machines - sim,119,4184
Guest CPU Cores (KVM): - ARM,Guest CPU Cores (KVM): - ARM,639,16448
Guest CPU Cores (KVM): - ARM,Guest CPU Cores (KVM): - Overall,639,16448
Guest CPU Cores (KVM): - ARM,Guest CPU cores (TCG): - ARM,639,16448
Guest CPU Cores (KVM): - MIPS,Guest CPU Cores (KVM): - MIPS,1060,32252
Guest CPU Cores (KVM): - MIPS,Guest CPU Cores (KVM): - Overall,1060,32252
Guest CPU Cores (KVM): - MIPS,Guest CPU cores (TCG): - MIPS,1060,32252
Guest CPU Cores (KVM): - Overall,Guest CPU Cores (KVM): - Overall,16215,475169
Guest CPU Cores (KVM): - Overall,Guest CPU Cores (KVM): - PPC,2651,74674
Guest CPU Cores (KVM): - Overall,Guest CPU Cores (KVM): - S390,2284,63588
Guest CPU Cores (KVM): - Overall,Guest CPU Cores (KVM): - X86,3525,107740
Guest CPU Cores (KVM): - Overall,Guest CPU cores (TCG): - ARM,2607,76298
Guest CPU Cores (KVM): - Overall,Guest CPU cores (TCG): - MIPS,1086,32934
Guest CPU Cores (KVM): - Overall,Guest CPU cores (TCG): - PowerPC,2990,82466
Guest CPU Cores (KVM): - Overall,Guest CPU cores (TCG): - S390,2284,63588
Guest CPU Cores (KVM): - Overall,Guest CPU cores (TCG): - X86,3606,110060
Guest CPU Cores (KVM): - PPC,Guest CPU Cores (KVM): - PPC,2651,74674
Guest CPU Cores (KVM): - PPC,Guest CPU cores (TCG): - PowerPC,2651,74674
Guest CPU Cores (KVM): - S390,Guest CPU Cores (KVM): - S390,4156,118879
Guest CPU Cores (KVM): - S390,Guest CPU cores (TCG): - S390,3321,91866
Guest CPU Cores (KVM): - S390,S390 Machines - S390 Virtio-ccw,81,2369
Guest CPU Cores (KVM): - S390,Subsystems - GDB stub,184,9045
Guest CPU Cores (KVM): - X86,Guest CPU Cores (KVM): - X86,3525,107740
Guest CPU Cores (KVM): - X86,Guest CPU cores (TCG): - X86,3525,107740
Guest CPU Cores (Xen): - X86,Guest CPU Cores (Xen): - X86,12660,383633
Guest CPU Cores (Xen): - X86,Guest CPU cores (TCG): - X86,688,19488
Guest CPU Cores (Xen): - X86,Subsystems - Block layer core,1267,41558
Guest CPU Cores (Xen): - X86,X86 Machines - PC,688,19488
Guest CPU cores (TCG): - ARM,Guest CPU cores (TCG): - ARM,98914,3283930
Guest CPU cores (TCG): - ARM,Tiny Code Generator (TCG) - AArch64 target,14980,508643
Guest CPU cores (TCG): - ARM,Tiny Code Generator (TCG) - ARM target,4012,157597
Guest CPU cores (TCG): - Alpha,Guest CPU cores (TCG): - Alpha,9556,297615
Guest CPU cores (TCG): - CRIS,Guest CPU cores (TCG): - CRIS,18120,426255
