filename,lines,sections
crypto/hashpriv.h,39,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/hmac-gcrypt.c,150,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/hmac-glib.c,165,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/hmac-nettle.c,171,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/hmac.c,128,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/hmacpriv.h,48,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/init.c,156,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/ivgen-essiv.c,121,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/ivgen-essiv.h,28,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/ivgen-plain.c,61,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/ivgen-plain.h,28,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/ivgen-plain64.c,61,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/ivgen-plain64.h,28,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/ivgen.c,101,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/ivgenpriv.h,49,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/pbkdf-gcrypt.c,86,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/pbkdf-nettle.c,117,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/pbkdf-stub.c,43,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/pbkdf.c,113,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/random-gcrypt.c,35,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/random-gnutls.c,46,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/random-platform.c,93,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/secret.c,509,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/tlscreds.c,285,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/tlscredsanon.c,219,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/tlscredspriv.h,41,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/tlscredsx509.c,870,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/tlssession.c,594,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/trace-events,20,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/xts.c,230,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
